category_name,title,rating,price_gbp,price_inr
Historical Fiction,Private Paris (Private #10),5,,
Historical Fiction,"We Love You, Charlie Freeman",5,,
Historical Fiction,Thirst,5,,
Historical Fiction,The Regional Office Is Under Attack!,5,,
Historical Fiction,Finders Keepers (Bill Hodges Trilogy #2),5,,
Historical Fiction,The Time Keeper,5,,
Historical Fiction,Private Paris (Private #10),5,,
Historical Fiction,"We Love You, Charlie Freeman",5,,
Historical Fiction,Thirst,5,,
Historical Fiction,The Regional Office Is Under Attack!,5,,
